# Point-in-time S&P 500 membership (SPEC-BACKTEST.md §2.1).
#
# Sources (both Wikipedia; the change history §2.1 cites lives on the companion
# "Historical components" article, linked from the list article):
#   https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
#   https://en.wikipedia.org/wiki/Historical_components_of_the_S%26P_500
# Retrieved: 2026-08-16
#
# Compiled by reverse-walking the change history from the constituent list as of
# the retrieval date: each change event closes or opens one membership interval.
# A symbol is a member on date d iff added <= d and (removed empty or d < removed)
# — inclusive of `added`, exclusive of `removed` (§2.2).
#
# Conventions:
#   * Symbols are in yfinance form (BRK.B -> BRK-B).
#   * `removed` empty means still a member at the retrieval date.
#   * added = 1957-03-04 is a floor sentinel — S&P 500 inception — meaning "already a
#     member before this dataset's recorded history begins", not a verified date.
#   * Ticker changes are absent from the source change table by editorial policy
#     ("company name changes and ticker changes are not changes to the index"),
#     so each one is supplied from a company press release, SEC filing or
#     exchange notice and split into a removal of the old symbol and an addition
#     of the new one on the effective date, per §2.3.
#   * Changes announced but not yet effective at the retrieval date are excluded.
#
# Known imperfections (bias register row 8):
#   * The change table is community-maintained; dates and completeness may be
#     wrong in places, and pre-1990s coverage is sparse.
#   * Four pre-window spans (BUD, CCR, FSR, NCC) end at their acquisition's
#     completion date rather than a sourced index-removal date, which is accurate
#     to within days. All four close more than six years before the evaluation
#     window opens.
#   * Some symbols were reassigned to a different security rather than retired —
#     DLPH (to Delphi Technologies, 2017-12-05), IR (to Ingersoll Rand Inc,
#     2020-03-02), UA (to Under Armour Class C, 2016-12-07) and GOOG (to Alphabet
#     Class C, 2014-04-03). Membership here is per *symbol*, which is what the
#     price fetch keys on; a price series spanning one of those dates splices two
#     different securities, and no membership file can repair that.
symbol,added,removed
DE,1957-03-04,
DECK,2024-03-18,
DELL,1957-03-04,2013-10-29
DELL,2024-09-23,
DF,1957-03-04,2013-05-23
DFS,2007-07-02,2025-05-19
DG,2012-12-03,
DGX,2002-12-12,
DHI,2005-06-22,
DHR,1998-11-18,
DIS,1976-07-01,
DISCA,1957-03-04,2022-04-11
DISCK,2014-08-06,2022-04-11
DISH,2017-03-13,2023-06-20
DJ,1957-03-04,2007-12-13
DLPH,2012-12-21,2017-12-05
DLR,2016-05-18,
DLTR,2011-12-16,
DNB,1957-03-04,2017-04-05
DNR,1957-03-04,2015-03-23
DO,1957-03-04,2016-09-30
DOC,2008-03-31,
DOV,1985-10-31,
DOW,1957-03-04,2017-09-01
DOW,2019-04-02,
DPS,1957-03-04,2018-07-02
DPZ,2020-05-12,
DRE,2017-07-26,2022-10-03
DRI,1995-05-31,
DTE,1957-03-04,
DTV,1957-03-04,2015-07-29
DUK,1976-06-30,
DV,1957-03-04,2012-10-01
DVA,2008-07-31,
DVN,2000-08-30,
DWDP,2017-09-01,2019-06-03
DXC,2017-04-04,2023-10-03
DXCM,2020-05-12,
DYN,1957-03-04,2009-12-18
EA,1957-03-04,2026-08-05
EBAY,2002-07-22,
ECHO,2026-06-24,
ECL,1989-01-31,
ED,1957-03-04,
EFX,1997-06-19,
EG,2023-07-10,
EIX,1957-03-04,
EK,1957-03-04,2010-12-17
EL,2006-01-05,
ELV,2022-06-28,
EMC,1957-03-04,2016-09-08
EME,2025-09-22,
EMN,1957-03-04,2025-11-04
EMR,1965-03-31,
ENDP,2015-01-27,2017-03-02
ENPH,2021-01-07,2025-09-22
EOG,2000-11-02,
EP,1957-03-04,2012-05-17
EPAM,2021-12-14,2026-06-02
EQIX,2015-03-23,
EQR,2001-12-03,
EQT,1957-03-04,2018-11-13
EQT,2022-10-03,
ERIE,2024-09-23,
ES,2009-07-24,
ESRX,2003-09-25,2018-12-24
ESS,2014-04-02,
ESV,2012-07-31,2016-03-30
ETFC,1957-03-04,2020-10-07
ETN,1957-03-04,
ETR,1957-03-04,
ETSY,2020-09-21,2024-09-23
EVHC,2016-12-02,2018-10-11
EVRG,2018-06-05,
EW,2011-03-31,
EXC,1957-03-04,
EXE,2025-03-24,
EXPD,2007-10-10,
EXPE,2007-10-02,
EXR,2016-01-19,
F,1957-03-04,
FANG,2018-12-03,
FAST,2008-09-12,
FB,2013-12-23,2022-06-09
FBHS,2016-06-22,2022-12-15
FBIN,2022-12-15,2022-12-19
FCX,2011-07-01,
FDC,1957-03-04,2007-09-26
FDO,1957-03-04,2015-07-08
FDS,2021-12-20,
FDX,1980-12-31,
FDXF,2026-06-01,
FE,1997-11-28,
FERG,2026-08-05,
FFIV,2010-12-17,
FHN,1957-03-04,2013-06-21
FICO,2023-03-20,
FII,1957-03-04,2013-01-02
FIS,2006-11-10,
FISV,2001-04-02,
FITB,1996-03-29,
FIX,2025-12-22,
FL,2016-04-04,2019-08-09
FLEX,2026-06-22,
FLIR,1957-03-04,2021-05-14
FLR,1957-03-04,2019-06-03
FLS,1957-03-04,2021-03-22
FLT,2018-06-20,2024-03-25
FMC,2009-08-19,2025-03-24
FNM,1957-03-04,2008-09-12
FOSL,2012-04-03,2016-01-05
FOX,2015-09-18,2019-03-19
FOX,2019-03-19,
FOXA,1957-03-04,2019-03-19
FOXA,2019-03-19,
FRC,2019-01-02,2023-05-04
FRE,1957-03-04,2008-09-12
FRT,2016-02-01,
FRX,1957-03-04,2014-07-01
FSLR,1957-03-04,2017-03-20
FSLR,2022-12-19,
FSR,1998-12-11,2001-02-27
FTI,2009-06-05,2021-02-12
FTNT,2018-10-11,
FTR,1957-03-04,2017-03-20
FTV,2016-07-05,
GAS,1957-03-04,2011-12-12
GAS,2011-12-12,2016-07-01
GD,1957-03-04,
GDDY,2024-06-24,
GE,1957-03-04,
GEHC,2023-01-04,
GEN,2003-03-25,
GENZ,1957-03-04,2011-04-01
GEV,2024-04-02,
GGP,2013-12-10,2018-08-28
GHC,1957-03-04,2014-09-20
GILD,2004-07-01,
GIS,1957-03-04,
GL,1989-04-30,
GLK,1957-03-04,2005-07-01
GLW,1995-02-27,
GM,2013-06-06,
GMCR,2014-03-21,2016-03-07
GME,2007-12-13,2016-04-25
GNRC,2021-03-22,
GNW,1957-03-04,2015-11-18
GOOG,2014-04-03,
GOOGL,2014-04-03,
GPC,1973-12-31,
GPN,2016-04-25,
GPS,1957-03-04,2022-02-03
GR,1957-03-04,2012-07-31
GRA,1957-03-04,2000-12-05
GRMN,2012-12-11,
GRN,1957-03-04,1998-12-11
GS,2002-07-22,
GT,1957-03-04,2019-02-27
GWW,1981-06-30,
HAL,1957-03-04,
HAR,1957-03-04,2017-03-16
HAS,1984-09-30,
HBAN,1997-08-28,
HBI,2015-03-23,2021-12-20
HCA,2015-01-27,
HCBK,1957-03-04,2015-11-02
HD,1988-03-31,
HES,1957-03-04,2025-07-23
HFC,2018-06-18,2021-06-04
HIG,1957-03-04,
HII,2018-01-03,
HLT,2017-06-19,
HNG,1957-03-04,1976-07-01
HNZ,1957-03-04,2013-06-06
HOG,1957-03-04,2020-06-22
HOLX,2016-03-30,2026-04-09
HON,1957-03-04,
HONA,2026-06-29,
HOOD,2025-09-22,
HOT,1957-03-04,2016-09-22
HP,2010-02-26,2020-05-22
HPE,2015-11-02,
HPH,1957-03-04,1999-06-09
HPQ,1974-12-31,
HRB,1957-03-04,2020-09-21
HRL,2009-03-03,
HRS,2008-09-16,2019-07-01
HSIC,2015-03-18,
HSP,1957-03-04,2015-09-02
HST,2007-03-20,
HSY,1957-03-04,
HUBB,2023-10-18,
HUM,2012-12-10,
HWM,2020-04-01,
IBKR,2025-08-28,
IBM,1957-03-04,
ICE,2007-09-26,
IDXX,2017-01-05,
IEX,2019-08-09,
IFF,1976-03-31,
IGT,1957-03-04,2014-06-20
ILMN,2015-11-19,2024-06-24
INCY,2017-02-28,
INFO,2017-06-02,2022-03-02
INTC,1976-12-31,
INTU,2000-12-05,
INVH,2022-09-19,
IP,1957-03-04,
IPG,1957-03-04,2025-11-28
IPGP,2018-03-07,2022-06-21
IQV,2017-11-15,
IR,2010-11-17,2020-03-02
IR,2020-03-02,
IRM,2009-01-06,
ISRG,2008-06-02,
IT,2017-04-05,
ITT,1957-03-04,2011-10-31
ITW,1986-02-28,
IVZ,2008-08-21,
J,2019-12-10,
JBHT,2015-07-01,
JBL,1957-03-04,2014-11-05
JBL,2023-12-18,
JCI,2010-08-27,
JCP,1957-03-04,2013-12-02
JDSU,2000-07-27,2013-12-23
JEC,2007-10-26,2019-12-10
JEF,2018-05-24,2019-09-26
JKHY,2018-11-13,
JNJ,1973-06-30,
JNPR,2006-06-02,2025-07-09
JNS,1957-03-04,2011-11-18
JNY,1957-03-04,2009-03-03
JOY,2011-12-06,2015-10-07
JOYG,2011-02-25,2011-12-06
JPM,1975-06-30,
JWN,1957-03-04,2020-06-22
K,1957-03-04,2025-12-11
KBH,1957-03-04,2009-12-18
KDP,2022-06-21,
KEY,1994-03-01,
KEYS,2018-11-06,
KFT,2007-03-30,2012-10-02
KG,1957-03-04,2010-12-17
KHC,2015-07-06,
KIM,2006-04-04,
KKR,2024-06-24,
KLAC,1997-09-30,
KMB,1957-03-04,
KMI,2012-05-17,
KMX,2010-06-28,2025-10-31
KO,1957-03-04,
KORS,2013-11-13,2019-01-02
KR,1957-03-04,
KRFT,2012-10-02,2015-07-06
KSE,1957-03-04,2007-08-24
KSS,1957-03-04,2020-09-21
KSU,2013-05-23,2021-12-14
KVUE,2023-08-25,
L,1995-05-31,
LDOS,2019-08-09,
LDW,1957-03-04,1999-12-08
LEG,1957-03-04,2021-12-20
LEH,1957-03-04,2008-09-16
LEN,2005-10-04,
LH,2004-11-01,
LHX,2019-07-01,
LIFE,1957-03-04,2014-01-24
LII,2024-12-23,
LIN,1992-07-01,
LITE,2026-03-23,
LKQ,2016-05-23,2025-12-22
LLL,1957-03-04,2019-07-01
LLTC,1957-03-04,2017-03-13
LLY,1970-12-31,
LM,1957-03-04,2016-12-02
LMT,1957-03-04,
LNC,1957-03-04,2023-09-18
LNT,2016-07-01,
LO,2008-06-10,2015-06-11
LOW,1984-02-29,
LRCX,2012-06-05,
LSI,1957-03-04,2014-05-08
LUK,2007-08-24,2018-05-24
LULU,2023-10-18,
LUMN,1957-03-04,2023-03-20
LUV,1994-07-01,
LVLT,2014-11-05,2017-10-13
LVS,2019-10-03,
LW,2018-12-03,2026-03-23
LXK,1957-03-04,2012-10-01
LYB,2012-09-05,
LYV,2019-12-23,
M,1957-03-04,2020-04-06
MA,2008-07-18,
MAA,2016-12-02,
MAC,2013-05-08,2019-12-23
MAR,1998-05-29,
MAS,1981-06-30,
MAT,1957-03-04,2019-06-07
MBC,2022-12-15,2022-12-19
MBI,1957-03-04,2009-12-18
MCD,1970-06-30,
MCHP,2007-09-07,
MCK,1999-01-13,
MCO,1998-07-01,
MDLZ,2012-10-02,
MDP,1957-03-04,2011-01-03
MDT,1986-10-31,
MEE,2008-06-23,2011-06-01
MET,2000-12-11,
META,2022-06-09,
MFE,1957-03-04,2011-02-28
MGM,2017-07-26,
MHK,2013-12-23,2025-12-22
MHS,1957-03-04,2012-04-03
MI,1957-03-04,2011-07-05
MIL,1957-03-04,2010-07-14
MJN,2009-12-18,2017-06-19
MKC,2003-03-20,
MKTX,2019-07-01,2025-09-22
MLM,2014-07-02,
MMI,2011-01-03,2012-05-21
MMM,1957-03-04,
MNK,2014-08-18,2017-07-26
MNST,2012-06-29,
MO,1957-03-04,
MOH,2022-03-02,2026-03-23
MOLX,1957-03-04,2013-12-10
MON,1957-03-04,2018-06-07
MOS,2011-09-23,
MPC,2011-06-30,
MPWR,2021-02-12,
MRK,1957-03-04,
MRNA,2021-07-21,
MRO,1957-03-04,2024-11-26
MRSH,1987-08-31,
MRVL,2026-06-22,
MS,1993-07-29,
MSCI,2018-04-04,
MSFT,1994-06-01,
MSI,1957-03-04,
MTB,2004-02-23,
MTCH,2021-09-20,2026-03-23
MTD,2016-09-06,
MU,1994-09-27,
MUR,1957-03-04,2017-07-26
MWW,1957-03-04,2011-12-16
MXIM,1957-03-04,2007-09-27
MXIM,2018-12-03,2021-08-30
NAVI,2014-05-01,2018-06-05
NBL,1957-03-04,2020-10-12
NBR,1957-03-04,2015-03-23
NCC,1994-09-30,2009-01-02
NCLH,2017-10-13,
NCR,1957-03-04,2007-10-01
NDAQ,2008-10-22,
NDSN,2022-02-15,
NE,1957-03-04,2015-07-20
NEE,1976-06-30,
NEM,1969-06-30,
NFLX,2010-12-17,
NFX,2010-12-17,2019-02-15
NI,2000-11-02,
NKE,1988-11-30,
NKTR,2018-03-19,2019-10-03
NLSN,2013-07-08,2022-10-12
NOC,1957-03-04,
NOV,1957-03-04,2021-09-20
NOVL,1957-03-04,2011-04-27
NOW,2019-11-21,
NRG,2010-01-29,
NSC,1957-03-04,
NSM,1957-03-04,2011-09-23
NTAP,1999-06-25,
NTRS,1998-01-30,
NUE,1985-04-30,
NVDA,2001-11-30,
NVLS,1957-03-04,2012-06-05
NVR,2019-09-26,
NWL,1957-03-04,2023-09-18
NWS,2015-09-18,
NWSA,2013-07-01,
NXPI,2021-03-22,
NYT,1957-03-04,2010-12-17
NYX,1957-03-04,2013-11-13
O,2015-04-07,
ODFL,2019-12-09,
ODP,1957-03-04,2010-12-17
OGN,2021-06-03,2023-10-18
OI,1957-03-04,2000-12-05
OI,2008-12-31,2016-12-02
OKE,2010-03-15,
OMC,1997-12-31,
OMX,1957-03-04,2008-06-23
ON,2022-06-21,
ORCL,1989-08-31,
ORLY,2009-03-27,
OTIS,2020-04-03,
OXY,1957-03-04,
PANW,2023-06-20,
PAYC,2020-01-28,2026-03-23
PAYX,1998-10-01,
PBCT,1957-03-04,2022-04-04
PBI,1957-03-04,2017-03-01
PCAR,1980-12-31,
PCG,1957-03-04,2019-01-18
PCG,2022-10-03,
PCL,1957-03-04,2016-02-22
PCLN,2009-11-03,2018-02-27
PCP,1957-03-04,2016-02-01
PCS,2009-06-29,2013-04-30
PDCO,1957-03-04,2018-03-19
PEG,1957-03-04,
PENN,2021-03-22,2022-09-19
PEP,1957-03-04,
PETM,2012-10-10,2015-03-12
PFE,1957-03-04,
PFG,2002-07-22,
PG,1957-03-04,
PGN,1957-03-04,2012-07-02
PGR,1997-08-04,
PH,1985-11-30,
PHM,1984-04-30,
PKG,2017-07-26,
PLD,2003-07-17,
PLL,1957-03-04,2015-08-28
PLTR,2024-09-23,
PM,2008-03-31,
PNC,1988-04-30,
PNR,2012-10-01,
PNW,1999-10-04,
PODD,2023-03-15,
POM,1957-03-04,2016-03-30
POOL,2020-10-07,2026-06-22
PPG,1957-03-04,
PPL,2001-10-01,
PRGO,2011-12-16,2021-09-20
PRU,2002-07-22,
PSA,2005-08-19,
PSKY,1994-09-30,
PSX,2012-04-23,
PTC,2021-04-20,
PTV,1957-03-04,2010-11-17
PVH,2013-02-15,2022-09-19
PWR,2009-07-01,
PXD,1957-03-04,2024-05-08
PYPL,2015-07-20,
Q,1957-03-04,2011-03-31
Q,2017-08-29,2017-11-15
Q,2025-11-03,
QCOM,1999-07-22,
QEP,2010-06-30,2015-07-01
QRVO,2015-06-11,2024-12-23
QTRN,1957-03-04,2003-09-25
R,1957-03-04,2017-06-19
RAD,1957-03-04,2000-07-27
RAI,1957-03-04,2017-07-26
RCL,2014-12-05,
RDC,1957-03-04,2014-08-18
RE,2017-06-19,2023-07-10
REG,2017-03-02,
REGN,2013-04-30,
RF,1998-08-28,
RHI,1957-03-04,2024-06-24
RHT,1957-03-04,2019-07-15
RIG,2013-10-29,2017-07-26
RJF,2017-03-20,
RL,2007-02-02,
RMD,2017-07-26,
ROK,2000-03-12,
ROL,2018-10-01,
ROP,2009-12-23,
ROST,2009-12-18,
RRC,2007-12-20,2018-06-18
RRD,1957-03-04,2012-12-11
RSG,2008-12-05,
RSH,1957-03-04,2011-06-30
RTN,1957-03-04,2020-04-06
RTX,1957-03-04,
RVTY,1985-05-31,
RX,1957-03-04,2010-02-26
S,1957-03-04,2013-07-08
SAI,2009-12-18,2013-09-20
SATS,2026-03-23,2026-06-24
SBAC,2017-09-01,
SBL,2000-12-05,2007-01-10
SBNY,2021-12-20,2023-03-15
SBUX,2000-06-07,
SCG,1957-03-04,2019-01-02
SCHW,1997-06-02,
SE,1957-03-04,2017-02-28
SEDG,2021-12-20,2023-12-18
SEE,1957-03-04,2023-12-18
SGP,1957-03-04,2009-11-03
SHLD,1957-03-04,2012-09-05
SHW,1964-06-30,
SIAL,1957-03-04,2015-11-19
SIG,2015-07-29,2018-03-19
SII,1957-03-04,2010-08-26
SIVB,2018-03-19,2023-03-15
SJM,2008-11-06,
SLB,1957-03-04,
SLE,1957-03-04,2012-06-29
SLG,2015-03-23,2021-03-22
SLM,1957-03-04,2014-05-01
SLR,1957-03-04,2007-10-02
SMCI,2024-03-18,
SMS,1957-03-04,2000-06-07
SNA,1982-09-30,
SNDK,1957-03-04,2016-05-13
SNDK,2025-11-28,
SNI,1957-03-04,2018-03-07
SNPS,2017-03-16,
SO,1957-03-04,
SOLS,2025-10-30,2025-12-22
SOLV,2024-04-01,
SPG,2002-06-26,
SPGI,1957-03-04,
SPLS,1957-03-04,2017-09-18
SRCL,1957-03-04,2018-12-03
SRE,2017-03-17,
STE,2019-12-23,
STI,1957-03-04,2019-12-09
STJ,1957-03-04,2017-01-05
STLD,2022-12-22,
STR,1957-03-04,2010-06-30
STT,2003-03-14,
STX,2012-07-02,
STZ,2005-07-01,
SUN,1957-03-04,2012-10-10
SVU,1957-03-04,2012-04-23
SW,2024-07-08,
SWK,1982-09-30,
SWKS,2015-03-12,
SWN,1957-03-04,2017-04-04
SWY,1957-03-04,2015-01-27
SYF,2015-11-18,
SYK,2000-12-12,
SYY,1986-12-31,
T,1983-11-30,
TAP,1976-06-30,
TDC,2007-10-01,2017-06-19
TDG,2016-06-03,
TDY,2020-06-22,
TE,1957-03-04,2016-07-01
TECH,2021-08-30,
TEG,1957-03-04,2015-07-01
TEL,1957-03-04,2009-06-25
TEL,2011-10-14,
TER,1957-03-04,2013-12-23
TER,2020-09-21,
TFC,1997-12-04,
TFX,2019-01-18,2025-03-24
TGNA,1957-03-04,2017-06-02
TGT,1976-12-31,
THC,1957-03-04,2016-04-18
TIE,1957-03-04,2012-12-21
TIF,1957-03-04,2021-01-07
TJX,1985-09-30,
TKO,2025-03-24,
TLAB,1957-03-04,2011-12-20
TMC,1957-03-04,2000-06-12
TMO,2004-08-03,
TMUS,2019-07-15,
TPL,2024-11-26,
TPR,2004-09-01,
TRB,1957-03-04,2007-12-20
TRGP,2022-10-12,
TRIP,2011-12-20,2019-12-23
TRMB,2021-01-21,
TROW,2019-07-29,
TRV,2002-08-21,
TSCO,2014-01-24,
TSG,1957-03-04,2007-03-30
TSLA,2020-12-21,
TSN,2005-08-10,
TSO,2007-09-27,2017-08-01
TSS,1957-03-04,2019-09-23
TT,2020-03-02,
TTD,2025-07-18,
TTWO,2018-03-19,
TWC,1957-03-04,2016-05-18
TWTR,2018-06-07,2022-11-01
TWX,1957-03-04,2018-06-20
TXN,2001-03-12,
TXT,1978-12-31,
TYC,2010-08-26,2016-09-06
TYL,2020-06-22,
UA,2014-05-01,2022-06-21
UAA,2016-12-07,2022-06-21
UAL,2015-09-02,
UBER,2023-12-18,
UDR,2016-03-07,
UHS,2014-09-20,
